month,channel,is_complete_month,cost,leads,first_order_orders,first_order_users_proxy,first_order_revenue,first_order_formal_revenue,first_order_net_revenue,first_order_refund_revenue,repeat_leads,repeat_leads_90d,cac,cac_rate,first_order_conversion_rate,channel_roi,repeat_lead_rate,repeat_lead_rate_90d
2025-07,北海分部-dy-短直视频,False,1233.82000000,16,0,0,0.00000000,0.00000000,0.00000000,0.00000000,5,0,,,0.00000000,0.00000000,0.31250000,0.00000000
2025-07,千川直播,False,943292.32000000,6438,111,111,181677.80000000,183435.00000000,181677.80000000,1757.20000000,892,66,8498.12900901,5.19211659,0.01724138,0.19259968,0.13855235,0.01025163
2025-07,千川直播-获客,False,0.00000000,34,3,3,5640.00000000,5640.00000000,5640.00000000,0.00000000,1,0,0.00000000,0.00000000,0.08823529,,0.02941176,0.00000000
2025-07,华一堂-SP-短直视频,False,50.00000000,3,1,1,1880.00000000,1880.00000000,1880.00000000,0.00000000,0,0,50.00000000,0.02659574,0.33333333,37.60000000,0.00000000,0.00000000
2025-07,华为-东莞聚力,False,0.00000000,2,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,华为亚德,False,56723.73000000,428,28,28,56258.10000000,55832.00000000,55832.00000000,0.00000000,20,5,2025.84750000,1.01597166,0.06542056,0.99179127,0.04672897,0.01168224
2025-07,南昌先行-G-公众号,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,南昌微动-G-公众号,False,163611.73000000,1132,45,45,88855.60000000,90600.00000000,88279.20000000,2320.80000000,1,0,3635.81622222,1.85334405,0.03975265,0.54308820,0.00088339,0.00000000
2025-07,南昌高森-G-公众号,False,26059.82000000,191,8,8,14108.50000000,14059.00000000,14059.00000000,0.00000000,0,0,3257.47750000,1.85360410,0.04188482,0.54138900,0.00000000,0.00000000
2025-07,南昌高森-G-视频号,False,2286.36000000,73,3,3,5240.00000000,5240.00000000,5240.00000000,0.00000000,0,0,762.12000000,0.43632824,0.04109589,2.29185255,0.00000000,0.00000000
2025-07,合肥哲礼-G-公众号,False,24000.19000000,219,8,8,14305.20000000,14259.00000000,14259.00000000,0.00000000,25,1,3000.02375000,1.68316081,0.03652968,0.59604528,0.11415525,0.00456621
2025-07,周名-SP-短直视频,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,喜马拉雅,False,90185.00000000,1036,41,41,71984.00000000,73804.00000000,71984.00000000,1820.00000000,32,7,2199.63414634,1.25284786,0.03957529,0.79818152,0.03088803,0.00675676
2025-07,喜鹊-XCX-垂直应用,False,52232.55000000,3838,26,26,47463.00000000,47463.00000000,47463.00000000,0.00000000,64,4,2008.94423077,1.10048986,0.00677436,0.90868625,0.01667535,0.00104221
2025-07,增量组,False,0.00000000,3,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,夏夏子的养生日常-DSP-短视频,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,天津云海-SP-短直视频,False,0.00000000,15,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,央广-APP-垂直应用,False,0.00000000,1,0,0,1.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,存量MVP,False,19824.94000000,408,10,10,16553.00000000,16553.00000000,16553.00000000,0.00000000,50,45,1982.49400000,1.19766447,0.02450980,0.83495839,0.12254902,0.11029412
2025-07,安徽展望-G-公众号,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,安徽汇昌-G-公众号,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,安徽煜旻-G-公众号,False,138231.26000000,936,41,41,85394.40000000,85137.00000000,85137.00000000,0.00000000,11,0,3371.49414634,1.62363320,0.04380342,0.61776475,0.01175214,0.00000000
2025-07,安徽煜旻-G-视频号,False,5200.00000000,21,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000
2025-07,安阳顺弘-G-公众号,False,4457.98000000,10,1,1,599.00000000,599.00000000,599.00000000,0.00000000,0,0,4457.98000000,7.44237062,0.10000000,0.13436579,0.00000000,0.00000000
2025-07,寒冰-sp-短直视频,False,0.00000000,12,0,0,0.00000000,0.00000000,0.00000000,0.00000000,1,1,,,0.00000000,,0.08333333,0.08333333
2025-07,小徐老师手机摄影-SP-短直视频,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,小徐老师手机摄影-摄影粉-DY-直播,False,10600.12000000,346,5,5,10300.00000000,10500.00000000,10300.00000000,200.00000000,62,11,2120.02400000,1.02913786,0.01445087,0.97168711,0.17919075,0.03179191
2025-07,小文老师教音乐-sp-短直视频,False,0.00000000,130,0,0,0.00000000,0.00000000,0.00000000,0.00000000,1,0,,,0.00000000,,0.00769231,0.00000000
2025-07,小来早晚安-G-公众号,False,1002.56000000,22,1,1,1504.00000000,1504.00000000,1504.00000000,0.00000000,0,0,1002.56000000,0.66659574,0.04545455,1.50015959,0.00000000,0.00000000
2025-07,小程序,False,3069115.68000000,14895,1127,1127,2146083.68000000,2055411.20000000,2028008.18000000,27403.02000000,3849,35,2723.26147294,1.51336455,0.07566297,0.69925148,0.25840886,0.00234978
2025-07,小红书,False,4355067.61000000,23287,1375,1375,2736891.40000000,2741807.00000000,2723961.40000000,17845.60000000,258,24,3167.32189818,1.59879931,0.05904582,0.62843833,0.01107914,0.00103062
2025-07,巨牛传媒-SP-短直视频,False,0.00000000,17,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,平台私域穴位书,False,43.77000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000
2025-07,弹码,False,0.00000000,11,0,0,0.00000000,0.00000000,0.00000000,0.00000000,8,0,,,0.00000000,,0.72727273,0.00000000
2025-07,当红文化-SP-短直视频,False,141944.48000000,5680,68,68,127313.71000000,130268.00000000,127313.71000000,2954.29000000,32,0,2087.41882353,1.11491905,0.01197183,0.89692611,0.00563380,0.00000000
2025-07,微信,False,5658713.51000000,28242,1674,1674,3363614.65000000,3270700.00000000,3244642.64000000,26057.36000000,3628,76,3380.35454600,1.74401749,0.05927342,0.59441331,0.12846116,0.00269103
2025-07,微博,False,265161.55000000,1561,62,62,118662.00000000,117127.00000000,117127.00000000,0.00000000,40,7,4276.79919355,2.26388066,0.03971813,0.44750832,0.02562460,0.00448430
2025-07,快手,False,438476.13000000,5902,248,248,455691.29000000,435254.00000000,432720.27000000,2533.73000000,471,19,1768.04891129,1.01330157,0.04201965,1.03926134,0.07980346,0.00321925
2025-07,快手私信,False,52718.78000000,333,13,13,23238.70000000,21940.00000000,21940.00000000,0.00000000,0,0,4055.29076923,2.40286144,0.03903904,0.44080497,0.00000000,0.00000000
2025-07,抖音,False,14511375.27000000,106557,4739,4739,9193266.69000000,8819354.41000000,8734877.17000000,84477.24000000,7272,401,3062.11759232,1.66131418,0.04447385,0.63352139,0.06824516,0.00376324
2025-07,抖音-免费,False,1.28000000,26,0,0,0.00000000,0.00000000,0.00000000,0.00000000,4,4,,,0.00000000,0.00000000,0.15384615,0.15384615
2025-07,抖音号,False,0.00000000,1796,0,0,0.00000000,0.00000000,0.00000000,0.00000000,484,51,,,0.00000000,,0.26948775,0.02839644
2025-07,抖音品专,False,0.00000000,52,0,0,5.20000000,0.00000000,0.00000000,0.00000000,8,4,,,0.00000000,,0.15384615,0.07692308
2025-07,抖音品牌,False,30426.08000000,132,6,6,11372.00000000,10580.00000000,10580.00000000,0.00000000,1,0,5071.01333333,2.87581096,0.04545455,0.37375830,0.00757576,0.00000000
2025-07,抖音直播,False,310922.40000000,1605,76,76,151702.00000000,142710.00000000,142150.00000000,560.00000000,436,8,4091.08421053,2.18728386,0.04735202,0.48790952,0.27165109,0.00498442
2025-07,抖音直播-免费,False,104783.58000000,1324,22,22,37103.60000000,38960.00000000,37103.60000000,1856.40000000,12,0,4762.89000000,2.82408122,0.01661631,0.35409746,0.00906344,0.00000000
2025-07,抖音购物车,False,195075.28000000,1311,64,64,132298.00000000,124444.00000000,124444.00000000,0.00000000,17,2,3048.05125000,1.56757481,0.04881770,0.67818947,0.01296720,0.00152555
2025-07,摄影存量,False,1380.00000000,14,1,1,2381.40000000,2380.00000000,2380.00000000,0.00000000,0,0,1380.00000000,0.57983193,0.07142857,1.72565217,0.00000000,0.00000000
2025-07,摄影师路白-DY-短直视频,False,14011.02000000,459,11,11,25100.00000000,24580.00000000,24080.00000000,500.00000000,20,3,1273.72909091,0.58185299,0.02396514,1.79144702,0.04357298,0.00653595
2025-07,摄影读书会-XX-其他异业,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
